,X,Y,Angle,Grand Prix,Straight_Line
243,-1676.2609242122346,981.0969951840364,,Miami Grand Prix,
244,-2503.9310264675587,957.1971660494612,,Miami Grand Prix,
245,-2654.585192164451,686.7746774170006,121.41,Miami Grand Prix,
246,-2462.3911997777423,455.3411679797159,,Miami Grand Prix,
247,-1817.5143883547232,97.62913562844015,53.43,Miami Grand Prix,
248,-557.3397022637729,429.8109541188185,,Miami Grand Prix,107
249,430.6675627236698,647.4244746823015,41.07,Miami Grand Prix,
250,-10031.72390469355,812.4656915833457,,Monaco Grand Prix,1232
251,-9272.998328480384,1494.8237354283638,,Monaco Grand Prix,1232
252,-8659.936749191647,1854.741087052316,72.58,Monaco Grand Prix,
253,-8194.660487170899,1697.7633816289026,,Monaco Grand Prix,2014
254,-7710.9994488393,1317.3399333505397,,Monaco Grand Prix,2014
255,-6988.33631846665,877.5195154525073,,Monaco Grand Prix,2014
256,-6325.777264494854,405.8792924010798,,Monaco Grand Prix,2014
257,-5506.9476118808325,55.15432893255212,13.64,Monaco Grand Prix,325
258,-4629.428096428327,-538.1082604829616,,Monaco Grand Prix,
259,-3677.6623689512335,-478.71129086329177,101.11,Monaco Grand Prix,
260,-3430.882102317129,107.48023074035603,,Monaco Grand Prix,
261,-3251.2769798957456,627.9108216936551,64.3,Monaco Grand Prix,
262,-2677.813380353455,778.5245660863894,,Monaco Grand Prix,1105
263,-1926.1588719521556,873.9839815465733,,Monaco Grand Prix,1105
264,-1196.4246737676383,909.3393206059004,120.91,Monaco Grand Prix,1105
265,-1163.897761833057,560.0285706997458,,Monaco Grand Prix,1105
266,-1349.1597385039329,195.16147160748747,,Monaco Grand Prix,1105
267,-1406.4353877800431,-163.34166645409215,173.43,Monaco Grand Prix,
268,-1252.2861094813757,-219.910208949016,,Monaco Grand Prix,
269,-1185.81807204984,-61.51828996322938,,Monaco Grand Prix,
270,-1122.8855685242374,332.34018715767763,106.95,Monaco Grand Prix,
271,-787.0098474606274,368.40263299819145,,Monaco Grand Prix,
272,-398.10111780802623,160.51323932934636,,Monaco Grand Prix,
273,-404.4650788387052,-113.1370849898475,55.95,Monaco Grand Prix,
274,-593.9696961966999,-330.9259735953041,,Monaco Grand Prix,651
275,-1125.0068888677972,-761.5540033379114,,Monaco Grand Prix,651
276,-1908.481202422492,-1253.7003230437483,,Monaco Grand Prix,586
277,-3064.6007896624974,-1561.291772859896,40.12,Monaco Grand Prix,2647
278,-4048.8934290741713,-1271.3779925734116,,Monaco Grand Prix,2647
279,-4735.494113606309,-1027.4261530640524,,Monaco Grand Prix,2647
280,-5743.828383578326,-400.9295449327713,,Monaco Grand Prix,2647
281,-6189.305655725851,-226.9812767608801,4.1,Monaco Grand Prix,
282,-6413.458505361986,-164.04877323527765,25.89,Monaco Grand Prix,
283,-6810.852516388825,261.6295090390243,,Monaco Grand Prix,1367
284,-7363.810019276706,684.4793641885798,,Monaco Grand Prix,1367
285,-8128.192449739364,1307.440438413928,68.37,Monaco Grand Prix,1367
286,-8758.224591776578,1265.7211383239223,,Monaco Grand Prix,
287,-9390.37805415735,820.243866176397,32.11,Monaco Grand Prix,774
288,-9922.122353609637,-304.0559159102134,,Monaco Grand Prix,774
289,-10367.59962575716,-808.9301576774078,11.15,Monaco Grand Prix,
290,-10737.416472317724,-1000.5560953789624,,Monaco Grand Prix,
291,-10995.510447450815,-1719.683691845681,71.37,Monaco Grand Prix,
292,-10877.42361499266,-2416.18387131443,,Monaco Grand Prix,
293,-11055.614523851673,-2611.3453429219176,118.38,Monaco Grand Prix,
294,-11302.394790485776,-2504.572218962749,,Monaco Grand Prix,
295,-11531.497387590218,-2279.7122625454267,,Monaco Grand Prix,
296,-11570.388260555475,-1965.0497449174125,63.06,Monaco Grand Prix,
297,-11395.025778821211,-1625.6384899478703,,Monaco Grand Prix,
298,-11153.195259655417,-833.6788950189372,,Monaco Grand Prix,1752
299,-10702.768240039584,-29.69848480983208,,Monaco Grand Prix,1752
300,449.87403334974704,-1291.306839646422,,Spanish Grand Prix,6874
301,-928.8267546148315,-1305.4891266922446,,Spanish Grand Prix,6874
302,-1793.7687814619635,-1313.9324787265373,,Spanish Grand Prix,6874
303,-2908.7722642471413,-1311.8749615518086,,Spanish Grand Prix,6874
304,-3887.733741602891,-1298.9743470917294,,Spanish Grand Prix,6874
305,-5598.578979736495,-1301.1123731840632,,Spanish Grand Prix,6874
306,-7032.087386150456,-1352.0795071088228,,Spanish Grand Prix,6874
307,-7575.9054335361825,-1159.1366882800928,67.22,Spanish Grand Prix,
308,-7789.004277515139,-474.7940236048351,24.02,Spanish Grand Prix,
309,-8322.268094978008,-4.330740250089657,,Spanish Grand Prix,
310,-9117.986116792845,414.9291192154719,,Spanish Grand Prix,
311,-9475.889387304867,1489.3341866629391,84.1,Spanish Grand Prix,
312,-8903.289345381936,2258.241978267275,,Spanish Grand Prix,
313,-8001.066029164251,2598.525812254672,,Spanish Grand Prix,1650
314,-7064.489611794991,2682.105800456173,,Spanish Grand Prix,1650
315,-5810.209776718152,2706.1077861993595,,Spanish Grand Prix,1650
316,-4923.6113653492885,2370.9059709324856,107.08,Spanish Grand Prix,1650
317,-4897.166210324198,1849.131447047217,,Spanish Grand Prix,1650
318,-5270.637739330205,1377.6624480431306,,Spanish Grand Prix,1650
319,-5904.279290334115,1205.835835315769,,Spanish Grand Prix,917
320,-7109.558903540364,1266.1189506084884,,Spanish Grand Prix,917
321,-7850.086236883861,1132.192595580178,,Spanish Grand Prix,
322,-7900.1176035980925,685.9517835238332,,Spanish Grand Prix,
323,-7431.492135178628,329.71145685005825,49.76,Spanish Grand Prix,825
324,-6875.992319939606,1.27127162691576,,Spanish Grand Prix,825
325,-6146.7165830977165,-407.4803640318529,33.16,Spanish Grand Prix,
326,-4976.811279203693,-549.1616257450095,,Spanish Grand Prix,275
327,-4406.517875086022,-386.2799717139932,75.16,Spanish Grand Prix,
328,-4211.855386304223,461.51511877738017,13.9,Spanish Grand Prix,1190
329,-3787.305541331133,1074.6598236663033,,Spanish Grand Prix,1190
330,-3189.2152814038336,2048.514556663014,,Spanish Grand Prix,
331,-2255.51697718072,2468.856651498735,81.8,Spanish Grand Prix,
332,-1524.230120938049,2157.992478769372,,Spanish Grand Prix,3940
333,-573.3904361874966,1560.4567945600777,,Spanish Grand Prix,3940
334,436.6908906712605,976.3534534197854,,Spanish Grand Prix,3940
335,1516.1883051801249,375.3265554620675,,Spanish Grand Prix,3940
336,2598.52189567584,-59.31237386278443,132.12,Spanish Grand Prix,3940
337,2807.740588158195,408.032829082505,,Spanish Grand Prix,3940
338,2582.4399831694614,885.3269076040289,,Spanish Grand Prix,3940
339,1943.199705929548,1261.9286441298168,9.21,Spanish Grand Prix,
340,1408.4756674850169,1749.329098283864,127.8,Spanish Grand Prix,
341,1564.2229497912176,2267.7997185259683,,Spanish Grand Prix,
342,2056.3661683325604,2413.3162208333297,,Spanish Grand Prix,
343,2809.7488135758567,2209.805558099867,,Spanish Grand Prix,550
344,3593.240428502383,1926.8817355966637,65.17,Spanish Grand Prix,550
345,4056.989886698913,935.5223456565548,,Spanish Grand Prix,733
346,4058.126969654458,-259.6796067524733,,Spanish Grand Prix,733
347,3646.448632648262,-1070.7443062924126,79.04,Spanish Grand Prix,
348,2764.8174604186947,-1290.3427492584751,,Spanish Grand Prix,1834
349,1830.9171368947789,-1289.9117945910198,,Spanish Grand Prix,1834
350,865.1097256542906,3354.5089301682237,,Canadian Grand Prix,1029
351,2101.959843022045,2636.837844525662,,Canadian Grand Prix,1029
352,2730.674524670314,2304.809458570612,57.02,Canadian Grand Prix,
353,3220.082272415599,2447.7816812115398,,Canadian Grand Prix,
354,3563.303779355272,2505.392419568726,138.22,Canadian Grand Prix,
355,3699.6993283066713,2146.329396930295,,Canadian Grand Prix,
356,3366.6029554195507,1617.848738467335,,Canadian Grand Prix,
357,2875.928434973468,1174.2864373359073,,Canadian Grand Prix,1115
358,1953.4791779393388,691.8837339881931,,Canadian Grand Prix,1115
359,1234.0222208079151,401.67917366015007,,Canadian Grand Prix,
360,748.0776697202904,450.5350153604713,28.94,Canadian Grand Prix,
361,127.18008985176904,648.1614187417327,13.83,Canadian Grand Prix,343
362,-586.7032758694627,509.0228541863727,,Canadian Grand Prix,257
363,-1517.964573341624,157.02087147822564,39.63,Canadian Grand Prix,
364,-2528.5913785372404,279.8600371384548,,Canadian Grand Prix,601
365,-3458.903675515355,805.0952512009771,,Canadian Grand Prix,601
366,-4044.815253055271,827.8246001729012,95.3,Canadian Grand Prix,
367,-4259.686749514153,447.1406892841949,64.33,Canadian Grand Prix,
368,-4751.291303965787,180.75382391277537,,Canadian Grand Prix,
369,-5725.69982236363,410.0506605104911,,Canadian Grand Prix,5025
370,-6492.929739585336,730.7861498470718,,Canadian Grand Prix,5025
371,-7529.032215668393,1229.593386216549,,Canadian Grand Prix,5025
372,-8593.884065397331,1902.246742804368,,Canadian Grand Prix,5025
373,-9683.268571077611,2809.9280738802727,,Canadian Grand Prix,5025
374,-10125.491433983943,3264.7807308175825,33.81,Canadian Grand Prix,5025
375,-10088.092403689703,3739.828425826253,,Canadian Grand Prix,
376,-10235.50532615602,4159.112852307777,44.58,Canadian Grand Prix,
377,-10718.30929010223,4654.796554276912,,Canadian Grand Prix,3250
378,-11577.270435907429,5367.475128388009,,Canadian Grand Prix,3250
379,-12455.75136707987,5979.540691515353,,Canadian Grand Prix,3250
380,-13517.74782738994,6534.02109539712,,Canadian Grand Prix,944
381,-14497.518553248185,6817.134720557065,,Canadian Grand Prix,944
382,-15117.84319685903,7073.350130962209,,Canadian Grand Prix,944
383,-15046.10860332766,7329.676384184326,170.12,Canadian Grand Prix,944
384,-14761.579568106758,7330.153999368164,,Canadian Grand Prix,944
385,-14366.574547273078,7186.94773722791,9.7,Canadian Grand Prix,944
386,-13603.384452027747,6990.6778248128185,,Canadian Grand Prix,9663
387,-12602.155604458389,6903.415033229428,,Canadian Grand Prix,9663
388,-11742.715312471417,6834.9140514164,,Canadian Grand Prix,9663
389,-10389.50891305706,6672.625910802125,8.65,Canadian Grand Prix,9663
390,-9010.636966106558,6356.252470208683,,Canadian Grand Prix,9663
391,-7464.116967578287,5946.208699188915,,Canadian Grand Prix,9663
