,TeamId,Grand Prix,Saison
148,aston_martin,Canadian Grand Prix,2023
149,alfa,Canadian Grand Prix,2023
150,mclaren,Canadian Grand Prix,2023
151,alpine,Canadian Grand Prix,2023
152,mclaren,Canadian Grand Prix,2023
153,alphatauri,Canadian Grand Prix,2023
154,haas,Canadian Grand Prix,2023
155,alfa,Canadian Grand Prix,2023
156,haas,Canadian Grand Prix,2023
157,alphatauri,Canadian Grand Prix,2023
158,mercedes,Canadian Grand Prix,2023
159,williams,Canadian Grand Prix,2023
160,red_bull,Austrian Grand Prix,2023
161,ferrari,Austrian Grand Prix,2023
162,red_bull,Austrian Grand Prix,2023
163,mclaren,Austrian Grand Prix,2023
164,aston_martin,Austrian Grand Prix,2023
165,ferrari,Austrian Grand Prix,2023
166,mercedes,Austrian Grand Prix,2023
167,mercedes,Austrian Grand Prix,2023
168,aston_martin,Austrian Grand Prix,2023
169,alpine,Austrian Grand Prix,2023
170,williams,Austrian Grand Prix,2023
171,alfa,Austrian Grand Prix,2023
172,williams,Austrian Grand Prix,2023
173,alpine,Austrian Grand Prix,2023
174,alfa,Austrian Grand Prix,2023
175,mclaren,Austrian Grand Prix,2023
176,alphatauri,Austrian Grand Prix,2023
177,haas,Austrian Grand Prix,2023
178,alphatauri,Austrian Grand Prix,2023
179,haas,Austrian Grand Prix,2023
180,red_bull,British Grand Prix,2023
181,mclaren,British Grand Prix,2023
182,mercedes,British Grand Prix,2023
183,mclaren,British Grand Prix,2023
184,mercedes,British Grand Prix,2023
185,red_bull,British Grand Prix,2023
186,aston_martin,British Grand Prix,2023
187,williams,British Grand Prix,2023
188,ferrari,British Grand Prix,2023
189,ferrari,British Grand Prix,2023
190,williams,British Grand Prix,2023
191,alfa,British Grand Prix,2023
192,haas,British Grand Prix,2023
193,aston_martin,British Grand Prix,2023
194,alfa,British Grand Prix,2023
195,alphatauri,British Grand Prix,2023
196,alphatauri,British Grand Prix,2023
197,alpine,British Grand Prix,2023
198,haas,British Grand Prix,2023
199,alpine,British Grand Prix,2023
200,red_bull,Hungarian Grand Prix,2023
201,mclaren,Hungarian Grand Prix,2023
202,red_bull,Hungarian Grand Prix,2023
203,mercedes,Hungarian Grand Prix,2023
204,mclaren,Hungarian Grand Prix,2023
205,mercedes,Hungarian Grand Prix,2023
206,ferrari,Hungarian Grand Prix,2023
207,ferrari,Hungarian Grand Prix,2023
208,aston_martin,Hungarian Grand Prix,2023
209,aston_martin,Hungarian Grand Prix,2023
210,williams,Hungarian Grand Prix,2023
211,alfa,Hungarian Grand Prix,2023
212,alphatauri,Hungarian Grand Prix,2023
213,haas,Hungarian Grand Prix,2023
214,alphatauri,Hungarian Grand Prix,2023
215,alfa,Hungarian Grand Prix,2023
216,haas,Hungarian Grand Prix,2023
217,williams,Hungarian Grand Prix,2023
218,alpine,Hungarian Grand Prix,2023
219,alpine,Hungarian Grand Prix,2023
220,red_bull,Belgian Grand Prix,2023
221,red_bull,Belgian Grand Prix,2023
222,ferrari,Belgian Grand Prix,2023
223,mercedes,Belgian Grand Prix,2023
224,aston_martin,Belgian Grand Prix,2023
225,mercedes,Belgian Grand Prix,2023
226,mclaren,Belgian Grand Prix,2023
227,alpine,Belgian Grand Prix,2023
228,aston_martin,Belgian Grand Prix,2023
229,alphatauri,Belgian Grand Prix,2023
230,alpine,Belgian Grand Prix,2023
231,alfa,Belgian Grand Prix,2023
232,alfa,Belgian Grand Prix,2023
233,williams,Belgian Grand Prix,2023
234,haas,Belgian Grand Prix,2023
235,alphatauri,Belgian Grand Prix,2023
236,williams,Belgian Grand Prix,2023
237,haas,Belgian Grand Prix,2023
238,ferrari,Belgian Grand Prix,2023
239,mclaren,Belgian Grand Prix,2023
240,red_bull,Dutch Grand Prix,2023
241,aston_martin,Dutch Grand Prix,2023
242,alpine,Dutch Grand Prix,2023
243,red_bull,Dutch Grand Prix,2023
244,ferrari,Dutch Grand Prix,2023
245,mercedes,Dutch Grand Prix,2023
246,mclaren,Dutch Grand Prix,2023
247,williams,Dutch Grand Prix,2023
248,mclaren,Dutch Grand Prix,2023
249,alpine,Dutch Grand Prix,2023
250,aston_martin,Dutch Grand Prix,2023
251,haas,Dutch Grand Prix,2023
252,alphatauri,Dutch Grand Prix,2023
253,alfa,Dutch Grand Prix,2023
254,alphatauri,Dutch Grand Prix,2023
255,haas,Dutch Grand Prix,2023
256,mercedes,Dutch Grand Prix,2023
257,alfa,Dutch Grand Prix,2023
258,ferrari,Dutch Grand Prix,2023
259,williams,Dutch Grand Prix,2023
260,red_bull,Italian Grand Prix,2023
261,red_bull,Italian Grand Prix,2023
262,ferrari,Italian Grand Prix,2023
263,ferrari,Italian Grand Prix,2023
264,mercedes,Italian Grand Prix,2023
265,mercedes,Italian Grand Prix,2023
266,williams,Italian Grand Prix,2023
267,mclaren,Italian Grand Prix,2023
268,aston_martin,Italian Grand Prix,2023
269,alfa,Italian Grand Prix,2023
270,alphatauri,Italian Grand Prix,2023
271,mclaren,Italian Grand Prix,2023
272,williams,Italian Grand Prix,2023
273,alfa,Italian Grand Prix,2023
274,alpine,Italian Grand Prix,2023
275,aston_martin,Italian Grand Prix,2023
276,haas,Italian Grand Prix,2023
277,haas,Italian Grand Prix,2023
278,alpine,Italian Grand Prix,2023
279,alphatauri,Italian Grand Prix,2023
280,ferrari,Singapore Grand Prix,2023
281,mclaren,Singapore Grand Prix,2023
282,mercedes,Singapore Grand Prix,2023
283,ferrari,Singapore Grand Prix,2023
284,red_bull,Singapore Grand Prix,2023
285,alpine,Singapore Grand Prix,2023
286,mclaren,Singapore Grand Prix,2023
287,red_bull,Singapore Grand Prix,2023
288,alphatauri,Singapore Grand Prix,2023
289,haas,Singapore Grand Prix,2023
290,williams,Singapore Grand Prix,2023
291,alfa,Singapore Grand Prix,2023
292,haas,Singapore Grand Prix,2023
293,williams,Singapore Grand Prix,2023
294,aston_martin,Singapore Grand Prix,2023
295,mercedes,Singapore Grand Prix,2023
296,alfa,Singapore Grand Prix,2023
297,alpine,Singapore Grand Prix,2023
298,alphatauri,Singapore Grand Prix,2023
299,aston_martin,Singapore Grand Prix,2023
300,red_bull,Japanese Grand Prix,2023
301,mclaren,Japanese Grand Prix,2023
302,mclaren,Japanese Grand Prix,2023
303,ferrari,Japanese Grand Prix,2023
304,mercedes,Japanese Grand Prix,2023
305,ferrari,Japanese Grand Prix,2023
306,mercedes,Japanese Grand Prix,2023
307,aston_martin,Japanese Grand Prix,2023
308,alpine,Japanese Grand Prix,2023
309,alpine,Japanese Grand Prix,2023
310,alphatauri,Japanese Grand Prix,2023
311,alphatauri,Japanese Grand Prix,2023
312,alfa,Japanese Grand Prix,2023
313,haas,Japanese Grand Prix,2023
314,haas,Japanese Grand Prix,2023
315,williams,Japanese Grand Prix,2023
316,williams,Japanese Grand Prix,2023
317,aston_martin,Japanese Grand Prix,2023
318,red_bull,Japanese Grand Prix,2023
319,alfa,Japanese Grand Prix,2023
320,red_bull,Qatar Grand Prix,2023
321,mclaren,Qatar Grand Prix,2023
322,mclaren,Qatar Grand Prix,2023
323,mercedes,Qatar Grand Prix,2023
324,ferrari,Qatar Grand Prix,2023
325,aston_martin,Qatar Grand Prix,2023
326,alpine,Qatar Grand Prix,2023
327,alfa,Qatar Grand Prix,2023
328,alfa,Qatar Grand Prix,2023
329,red_bull,Qatar Grand Prix,2023
330,aston_martin,Qatar Grand Prix,2023
331,alpine,Qatar Grand Prix,2023
332,williams,Qatar Grand Prix,2023
333,haas,Qatar Grand Prix,2023
334,alphatauri,Qatar Grand Prix,2023
335,haas,Qatar Grand Prix,2023
336,alphatauri,Qatar Grand Prix,2023
337,williams,Qatar Grand Prix,2023
338,mercedes,Qatar Grand Prix,2023
339,ferrari,Qatar Grand Prix,2023
340,red_bull,United States Grand Prix,2023
341,mclaren,United States Grand Prix,2023
342,ferrari,United States Grand Prix,2023
343,red_bull,United States Grand Prix,2023
344,mercedes,United States Grand Prix,2023
345,alpine,United States Grand Prix,2023
346,aston_martin,United States Grand Prix,2023
347,alphatauri,United States Grand Prix,2023
348,williams,United States Grand Prix,2023
349,williams,United States Grand Prix,2023
350,haas,United States Grand Prix,2023
351,alfa,United States Grand Prix,2023
352,alfa,United States Grand Prix,2023
353,haas,United States Grand Prix,2023
354,alphatauri,United States Grand Prix,2023
355,aston_martin,United States Grand Prix,2023
356,mclaren,United States Grand Prix,2023
357,alpine,United States Grand Prix,2023
358,mercedes,United States Grand Prix,2023
359,ferrari,United States Grand Prix,2023
360,red_bull,Mexico City Grand Prix,2023
361,mercedes,Mexico City Grand Prix,2023
362,ferrari,Mexico City Grand Prix,2023
363,ferrari,Mexico City Grand Prix,2023
364,mclaren,Mexico City Grand Prix,2023
365,mercedes,Mexico City Grand Prix,2023
366,alphatauri,Mexico City Grand Prix,2023
367,mclaren,Mexico City Grand Prix,2023
368,williams,Mexico City Grand Prix,2023
369,alpine,Mexico City Grand Prix,2023
370,alpine,Mexico City Grand Prix,2023
371,alphatauri,Mexico City Grand Prix,2023
372,haas,Mexico City Grand Prix,2023
373,alfa,Mexico City Grand Prix,2023
374,alfa,Mexico City Grand Prix,2023
375,williams,Mexico City Grand Prix,2023
376,aston_martin,Mexico City Grand Prix,2023
377,aston_martin,Mexico City Grand Prix,2023
378,haas,Mexico City Grand Prix,2023
379,red_bull,Mexico City Grand Prix,2023
380,red_bull,São Paulo Grand Prix,2023
381,mclaren,São Paulo Grand Prix,2023
382,aston_martin,São Paulo Grand Prix,2023
383,red_bull,São Paulo Grand Prix,2023
384,aston_martin,São Paulo Grand Prix,2023
385,ferrari,São Paulo Grand Prix,2023
386,alpine,São Paulo Grand Prix,2023
387,mercedes,São Paulo Grand Prix,2023
388,alphatauri,São Paulo Grand Prix,2023
389,alpine,São Paulo Grand Prix,2023
390,williams,São Paulo Grand Prix,2023
391,haas,São Paulo Grand Prix,2023
392,alphatauri,São Paulo Grand Prix,2023
393,mclaren,São Paulo Grand Prix,2023
394,mercedes,São Paulo Grand Prix,2023
